business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason
Astudy,http://www.astudy.it/,Milan,IT,info@astudy.it; inbound@astudy.it,+39 02 4539 1319,https://www.instagram.com/astudyitaly,https://it.linkedin.com/company/astudy,,Apify contact scraping,,,,,,,,16,category: Travel agency; Educational consultant | rating: 4.7 | reviews: 235 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Astudy&query_place_id=ChIJqfb1tl3BhkcRhhcTpZklhhw,Keep,A,Italy education travel consultant,Travel agency plus educational consultant. Strong outbound student travel fit.
ESL – Soggiorni linguistici,https://www.esl.it/it,,,,+39 039 890 0852,https://www.instagram.com/esl_education; https://www.instagram.com/esl_soggiornilinguistici,https://www.linkedin.com/company/esleducation,,Apify contact scraping,,,,,,,,14,category: Travel agency; Service establishment; Language school | rating: 5 | reviews: 388 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=ESL%20%E2%80%93%20Soggiorni%20linguistici&query_place_id=ChIJZSvBy565hkcRp_PafnV6_h0,Keep,A,Italy language travel agency,Soggiorni linguistici means language stays. Strong outbound language-study agency fit.
Master Studio,https://www.masterstudio.it/,Milan,IT,,+39 02 2953 3748,https://www.instagram.com/masterstudio._,https://www.linkedin.com/company/masterstudio-formazione-linguistica,,Apify contact scraping,,,,,,,,14,category: Travel agency | rating: 4.7 | reviews: 228 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Master%20Studio&query_place_id=ChIJHUPgjejGhkcRUU4r4PCFNjw,Keep,B,Italy outbound study/travel agency,"Travel/study brand likely relevant to Italian student mobility. Needs source confirmation, but fit is plausible."
Language Educational Travels,http://www.letworld.it/,Milan,IT,,+39 02 4507 7964,https://www.instagram.com/letvacanzestudio,,,,,,,,,,,13,category: Corporate office | rating: 4.9 | reviews: 43 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Language%20Educational%20Travels&query_place_id=ChIJAfIuoezGhkcRxfoZZtU31K4,Keep,A,Italy language educational travel provider,Direct language/educational travel fit.
Hemingway institutoa - Spanish school,https://www.institutohemingway.com/,Bilbao,ES,info@institutohemingway.com,+34 944 16 79 01,https://instagram.com/institutohemingway,https://www.linkedin.com/company/instituto-hemingway,,Apify contact scraping,,,,,,,,11,category: Language school; School | rating: 4.9 | reviews: 639 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Hemingway%20institutoa%20-%20Spanish%20school&query_place_id=ChIJk-QdHdJPTg0RE62ciP5Q6dU,Review,C,Unclear education lead,Needs manual source check for UK/China outbound youth-study-tour relevance.
STSicily - Social Tourism in Sicily Soc. Coop,http://stsicily.it/,Balestrate,IT,piero.tuzzo@stsicily.it,+39 347 383 6779,https://www.instagram.com/st_sicily,https://www.linkedin.com/company/stsicily,,Apify contact scraping,,,,,,,,11,category: Education center | rating: 3.9 | reviews: 25 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=STSicily%20-%20Social%20Tourism%20in%20Sicily%20Soc.%20Coop&query_place_id=ChIJB0PQTHaPGRMR1Dtdv7AcFak,Review,C,Unclear education lead,Needs manual source check for UK/China outbound youth-study-tour relevance.
Agenzia Visti per la Cina,http://www.vistopercina.it/,Milan,IT,info@vistopercina.it; booking@chinastartravel.it,+39 392 267 4411,,,,,,,,,,,,10,category: Tourist information center | rating: 4.4 | reviews: 30 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Agenzia%20Visti%20per%20la%20Cina&query_place_id=ChIJZ1GPnTzHhkcRu8OiC8dc2-U,Review,C,Italy China visa service,China visa agency; relevant to China travel logistics but not clearly youth study-tour sales.
AnDa Sports Camps,https://www.andasportscamps.com/,Torrelles de Llobregat,ES,info@andasportscamps.com,+34 609 70 22 99,https://www.instagram.com/pixpa,,,,,,,,,,,10,category: Children's camp; Sport tour agency | rating: 4.9 | reviews: 64 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=AnDa%20Sports%20Camps&query_place_id=ChIJA_QYtN6FpBIRVHpRQaBqFyo,Review,C,Spain sports camp operator,"Children's camp/sport tour agency. Could be youth partnership, but not UK/China outbound study-tour focus."
CHINA LONG VISA SERVICE,https://www.chinalongtravel.com/,Milan,IT,chinalongtravel@hotmail.com,+39 02 4960 1796,,,,,,,,,,,,10,category: Travel agency | rating:  | reviews:  | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=CHINA%20LONG%20VISA%20SERVICE&query_place_id=ChIJOZnMRZHHhkcRBiEq4ja1MBM,Review,C,Italy China visa/travel service,China-related travel/visa lead. Could help China inbound but may not target youth education.
China Long Travel Service Srl,http://www.chinalongtravel.com/,Milan,IT,chinalongtravel@hotmail.com,+39 02 3493 8212,,,,,,,,,,,,10,category: Travel agency; Visa and passport office | rating: 3.5 | reviews: 11 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=China%20Long%20Travel%20Service%20Srl&query_place_id=ChIJidfhmjnBhkcR1T4X3yYH3fU,Review,C,Italy China travel/visa agency,China travel/visa agency. Review for education/youth capability.
EDUITALIA: International Education,http://www.eduitalia.org/,Florence,IT,info@eduitalia.org,+39 335 775 3588,,,,,,,,,,,,10,category: Learning center | rating: 5 | reviews: 1 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=EDUITALIA%3A%20International%20Education&query_place_id=ChIJl92b_wJUKhMRFhBNwaNOkiU,Review,C,Italy international education network,"International education network, but may be Italy-inbound rather than outbound to UK/China."
SAIIE - Spanish American Institute of International Education,http://saiie.com/,Seville,ES,info@saiie.com; director@saiie.com; samanthac@saiie.com; seanrc@saiie.com; administracion@saiie.com; xiaozt@saiie.com,+34 954 22 23 04,https://www.instagram.com/saiiesevilla,,,,,,,,,,,10,category: Education center | rating: 5 | reviews: 1 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=SAIIE%20-%20Spanish%20American%20Institute%20of%20International%20Education&query_place_id=ChIJDfZG5hpsEg0R_vK4VFgYqTA,Review,C,Spain international education provider,"International education, but likely Spain/US inbound-academic rather than outbound youth camps."
Au Pair in Spain. Culture and Friends,https://www.aupairinspain.com/,Madrid,ES,,+34 644 56 85 98,https://www.instagram.com/aupairinspaincf,https://www.linkedin.com/company/18966630,,Apify contact scraping,,,,,,,,9,category: Travel agency; After school program | rating: 4.6 | reviews: 74 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Au%20Pair%20in%20Spain.%20Culture%20and%20Friends&query_place_id=ChIJ06bePBSQQQ0R_dIlbdbIp-w,Review,C,Spain cultural exchange / au pair agency,Cultural exchange/after-school angle. Review for youth/family mobility relevance.
Go Study Australia,https://www.gostudy.it/,Milan,IT,,+39 345 113 6360,https://www.instagram.com/gostudyaustralia_it,https://www.linkedin.com/company/go-study-australia,,Apify contact scraping,,,,,,,,9,category: Educational consultant | rating: 4.9 | reviews: 500 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Go%20Study%20Australia&query_place_id=ChIJK8jRrbzGhkcRaxwYKeuHF7Q,Review,C,Italy outbound study agency,"Outbound study agency but destination is Australia, not UK/China. Could cross-sell if they handle broader destinations."
Learnlife Barcelona - Urban Hub,https://learnlife.com/,Barcelona,ES,,+34 695 11 85 39,https://www.instagram.com/wearelearnlife,https://www.linkedin.com/company/learnlife,,Apify contact scraping,,,,,,,,9,category: International school; Adult education school; Secondary school | rating:  | reviews:  | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Learnlife%20Barcelona%20-%20Urban%20Hub&query_place_id=ChIJ_dLH9oyipBIRwM6vpQnsYcw,Review,C,Spain international school,"International school. Possible partner/referrer, but not a source-market agency."
Youth Education Support,http://youtheducationsupport.org/,Milan,IT,info@youtheducationsupport.org,,,,,,,,,,,,,9,category: Corporate office | rating:  | reviews:  | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Youth%20Education%20Support&query_place_id=ChIJ_3k4I1fBhkcR69s5-i9rn2M,Review,C,Italy youth education organization,"Youth education name, but unclear commercial source-market role."
China Internacional Travel,https://www.chinatravel-cit.es/,Las Palmas de Gran Canaria,ES,,+34 928 27 15 71,,,,,,,,,,,,8,category: Travel agency | rating: 4.6 | reviews: 12 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=China%20Internacional%20Travel&query_place_id=ChIJ87ZZBT6VQAwRDw5GqNMvdrE,Review,C,Spain China travel agency,China-related travel agency. Review for China study-tour/youth education relevance.
三和旅行社 Viajes Sanhe,http://www.sanhe.es/,València,ES,,+34 963 28 25 55,,,,,,,,,,,,8,category: Tour agency; University; Wholesaler; Youth organization | rating: 3.6 | reviews: 9 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%92%8C%E6%97%85%E8%A1%8C%E7%A4%BE%20Viajes%20Sanhe&query_place_id=ChIJg7ZNNkpPYA0RjVfBzM4A9ts,Review,C,Spain Chinese travel/youth org adjacent,"Chinese travel agency with youth organization category. Potential China connection, but unclear education fit."
"Culture Discovery Vacations - Cooking, Culinary & Wine Vacations in Italy, Portugal and Croatia",https://www.culturediscovery.com/,Soriano nel Cimino,IT,info@culturediscovery.com; extensions@culturediscovery.com,(813) 848-0310,https://www.instagram.com/travelcdv,https://www.linkedin.com/company/travelcdv,https://www.linkedin.com/in/michaelkovnick; https://www.linkedin.com/in/daniele-pintaudi-791a1018; https://www.linkedin.com/in/marta-marques-17670657,Apify contact scraping,,,,,,,,6,category: Tour operator; Cooking class; Cooking school; Sightseeing tour agency; Tour agency | rating: 4.9 | reviews: 46 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Culture%20Discovery%20Vacations%20-%20Cooking%2C%20Culinary%20%26%20Wine%20Vacations%20in%20Italy%2C%20Portugal%20and%20Croatia&query_place_id=ChIJk7IWSuIlLxMRUXN6tI7zaaY,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
AstroGC Astronomy Tours,https://www.astrogc.com/,Maspalomas,ES,astroGC.mail@gmail.com,+34 663 32 29 93,,,,,,,,,,,,5,category: Sightseeing tour agency | rating: 5 | reviews: 951 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=AstroGC%20Astronomy%20Tours&query_place_id=ChIJ7VIwKMShQAwRRSp5Qn1BkkU,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
"Caesar Traduzioni Professionali, Tecniche e Giurate",https://www.caesartraduzioni.com/,Rome,IT,info@caesarweb.it,+39 06 2521 0367,,,,,,,,,,,,5,category: Translation service | rating: 4.9 | reviews: 602 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Caesar%20Traduzioni%20Professionali%2C%20Tecniche%20e%20Giurate&query_place_id=ChIJ8TFrxUxiLxMRUCB3urpwggc,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Cool Runnings Trike Tours,http://www.fuertetrikes.com/,Castillo Caleta de Fuste,ES,coolrunnings@inbox.com,+34 649 93 85 81,,,,,,,,,,,,5,category: Sightseeing tour agency | rating: 4.9 | reviews: 213 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Cool%20Runnings%20Trike%20Tours&query_place_id=ChIJDxPdCxnBRwwReJFPUtk3FHY,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Dive center La Herradura - Almunecar - Scubasur,http://www.scubasur.com/,Almuñécar,ES,info@scubasur.com,+34 680 39 69 93,https://www.instagram.com/scubasurdivecenter; http://instagram.com/scubasurdivecenter; https://instagram.com/scubasurdivecenter,,,,,,,,,,,5,category: Diving center; Boat tour agency; Dive club; Dive shop; Diving contractor; SCUBA instructor; SCUBA tour agency; Sports school | rating: 4.7 | reviews: 250 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Dive%20center%20La%20Herradura%20-%20Almunecar%20-%20Scubasur&query_place_id=ChIJ-drFl3GIcQ0Rj2JMD9yXnsg,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
El Salobre Horse Riding,http://www.elsalobrehr.es/,El Salobre,ES,jose@elsalobrehr.es,+34 616 41 83 63,https://instagram.com/elsalobrehr,,,,,,,,,,,5,category: Horseback riding service; Horse rental service; Horse riding school | rating: 4.3 | reviews: 462 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=El%20Salobre%20Horse%20Riding&query_place_id=ChIJ3-U1GIWCQAwRPmbKfBl7XWA,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
International kids,http://www.internationalkids.it/contatti_scuola_materna_lingua_inglese.htm,Pescara,IT,info@internationalkids.it,+39 328 855 1570,,,,,,,,,,,,5,category: Preschool | rating: 3.7 | reviews: 3 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=International%20kids&query_place_id=ChIJpX04xHymMRMRtl_4EK_9Ous,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Kids' British School - Scuola dell'infanzia creativa e bilingue,http://www.kidsbritishschool.it/,Palermo,IT,kidsbritishschoolinfanzia@gmail.com; kidsbritischschoolinfanzia@pec.it,+39 351 654 8114,https://www.instagram.com/kidsbritishschool_palermo,,,,,,,,,,,5,category: Preschool; Private educational institution | rating: 5 | reviews: 4 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Kids'%20British%20School%20-%20Scuola%20dell'infanzia%20creativa%20e%20bilingue&query_place_id=ChIJoSImgrXoGRMR6NFESS4qCgE,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Leagues Ahead Diving,https://leaguesdiving.com/,Playa del Inglés,ES,leaguesaheaddiving@gmail.com; leaguesdiving@europe.com,+34 652 68 06 44,https://www.instagram.com/leagues_ahead_diving,,,,,,,,,,,5,category: Diving center; Dive club; Dive shop; SCUBA instructor; SCUBA tour agency | rating: 5 | reviews: 609 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Leagues%20Ahead%20Diving&query_place_id=ChIJ2U2oh71iPwwROQ64SsAxZrA,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Milan Fashion Tour,http://milanofashiontour.com/,Milan,IT,info@milanofashiontour.com,+39 349 477 1773,https://www.instagram.com/milano_fashion_tour,,,,,,,,,,,5,category: Tour operator | rating: 4.9 | reviews: 49 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Milan%20Fashion%20Tour&query_place_id=ChIJQ9yGdLHGhkcRlBEKnZk7j0M,Remove,D,Generic tourism/travel lead,"Generic tourism or local tour operator, not clearly outbound youth education."
Patrick Guide Barcelona,http://patrickguidebarcelona.com/,Barcelona,ES,patrickguidetours@gmail.com,+34 603 62 12 87,https://www.instagram.com/patrickguidebarcelona,,,,,,,,,,,5,category: Tour agency | rating: 5 | reviews: 101 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Patrick%20Guide%20Barcelona&query_place_id=ChIJcwxsi4CXpBIRLZ0yxir6czE,Remove,D,Generic tourism/travel lead,"Generic tourism or local tour operator, not clearly outbound youth education."
SURFERS ISLAND - Surf-and Kitesurfschool Fuerteventura,https://www.surfersisland.net/,Jandia,ES,info@surfers-island.de,+34 618 20 07 10,https://www.instagram.com/surfersisland; https://www.instagram.com/desertsun_production; https://www.instagram.com/olli_zimtstern,,,,,,,,,,,5,category: Surf school; Adventure sports center; Kite shop; Water sports equipment rental service | rating: 5 | reviews: 1211 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=SURFERS%20ISLAND%20-%20Surf-and%20Kitesurfschool%20Fuerteventura&query_place_id=ChIJWQueIPZ4RwwRx2UiM7a7k4A,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Sky Rebels,https://sky-rebels.com/,Maspalomas,ES,skyrebelsfly@gmail.com,+34 622 21 22 13,https://www.instagram.com/skyrebelsfly,,,,,,,,,,,5,category: Sightseeing tour agency; Outdoor activity organiser; Sport tour agency | rating: 4.9 | reviews: 140 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Sky%20Rebels&query_place_id=ChIJ0XhnGq9iPwwR3Mi7216z_4c,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
TU GESTOR DE VIAJES,http://www.tugestordeviajes.es/,,,reservas@tugestordeviajes.es,+34 662 52 70 45,https://www.instagram.com/tugestordeviajes,,,,,,,,,,,5,category: Tour agency; Service establishment | rating: 4.9 | reviews: 14 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=TU%20GESTOR%20DE%20VIAJES&query_place_id=ChIJlS-Q5cX9cQ0RYg438WbbnRI,Remove,D,Generic tourism/travel lead,"Generic tourism or local tour operator, not clearly outbound youth education."
The Cruise Market,http://thecruisemarket.com/,Cómpeta,ES,info@thecruisemarket.com,+34 951 57 13 87,https://www.instagram.com/thecruisemarket,,,,,,,,,,,5,category: Travel agency | rating: 4.7 | reviews: 16 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=The%20Cruise%20Market&query_place_id=ChIJt2YGhbtHcg0RdZKl1zPScfw,Remove,D,Generic tourism/travel lead,"Generic tourism or local tour operator, not clearly outbound youth education."
"Tourist Discovery Tours, Attractions, Excursions, Buggy, Quad, Ryker, Boats, activities & Car rental",https://touristdiscovery.es/,Maspalomas,ES,info@touristdiscovery.es,+34 623 97 44 49,https://www.instagram.com/touristdiscovery,,,,,,,,,,,5,category: Tourist attraction; Car rental agency; Motorcycle rental agency; Sport tour agency; Tour agency; Tour operator; Tourist information center | rating: 5 | reviews: 459 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Tourist%20Discovery%20Tours%2C%20Attractions%2C%20Excursions%2C%20Buggy%2C%20Quad%2C%20Ryker%2C%20Boats%2C%20activities%20%26%20Car%20rental&query_place_id=ChIJcXadUtxjPwwRW9XNKStRP_0,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Wellenkind Surfschool & Surfcamp & Surfshop Fuerteventura,https://www.wellenkind-surfschool.com/,La Pared,ES,info@wellenkind-surfschool.com,+34 621 31 91 41,https://www.instagram.com/wellenkind_surfschool,,,,,,,,,,,5,category: Surf school; Serviced accommodation; Sports equipment rental service; Surf shop | rating: 4.7 | reviews: 320 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Wellenkind%20Surfschool%20%26%20Surfcamp%20%26%20Surfshop%20Fuerteventura&query_place_id=ChIJgX485lacRwwR7jF6d4RGToU,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Bella Milano Tours,http://www.bellamilanotours.com/,Milan,IT,info@bellamilanotours.com,,https://www.instagram.com/bellamilanotours,,,,,,,,,,,4,category: Tour agency | rating: 5 | reviews: 16 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Bella%20Milano%20Tours&query_place_id=ChIJ9_ULwXPGhkcR7DPvXxus_Po,Remove,D,Generic tourism/travel lead,"Generic tourism or local tour operator, not clearly outbound youth education."
Lidl,https://www.lidl.it/,Misterbianco,IT,,+39 800 480 048,https://www.instagram.com/lidlitalia,https://www.linkedin.com/company/lidl-italia-srl,,Apify contact scraping,,,,,,,,4,category: Supermarket | rating: 4.2 | reviews: 2782 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Lidl&query_place_id=ChIJDe060hpYERMRIoj7SRV1qVg,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Alcampo,https://www.compraonline.alcampo.es/,Motril,ES,,+34 913 68 78 57,https://www.instagram.com/alcampo.es,,,,,,,,,,,3,category: Supermarket; Baby store; Bakery; Butcher shop; Cosmetics store; Fish store; Fresh food market; Fruit and vegetable store; Home goods store; Pet supply store | rating: 4 | reviews: 2457 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Alcampo&query_place_id=ChIJ5RkHJ5CQcQ0R8m1kAJkTIy0,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
Lidl,https://www.lidl.es/,Ingenio,ES,,+34 900 958 311,https://www.instagram.com/lidlespana,,,,,,,,,,,3,category: Discount supermarket; Supermarket | rating: 4.2 | reviews: 1505 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Lidl&query_place_id=ChIJyTijxAuiQAwRhhWW0L4bg1Q,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
MUJI,https://italy.muji.eu/,Milan,IT,,+39 02 7428 1169,https://www.instagram.com/mujieurope,,,,,,,,,,,3,category: Department store; Children's clothing store; Clothing store; Cosmetics store; Furniture store; Grocery store; Home goods store; Luggage store; Novelty store; Stationery store; Store | rating: 4.3 | reviews: 2640 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=MUJI&query_place_id=ChIJiekXo8HGhkcR9LirIPZ60j4,Remove,D,Non-convertible local/retail/tourism lead,Does not appear to sell outbound youth study tours/camps to UK or China.
