business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason
Astudy,http://www.astudy.it/,Milan,IT,info@astudy.it; inbound@astudy.it,+39 02 4539 1319,https://www.instagram.com/astudyitaly,https://it.linkedin.com/company/astudy,,Apify contact scraping,,,,,,,,16,category: Travel agency; Educational consultant | rating: 4.7 | reviews: 235 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Astudy&query_place_id=ChIJqfb1tl3BhkcRhhcTpZklhhw,Keep,A,Italy education travel consultant,Travel agency plus educational consultant. Strong outbound student travel fit.
ESL – Soggiorni linguistici,https://www.esl.it/it,,,,+39 039 890 0852,https://www.instagram.com/esl_education; https://www.instagram.com/esl_soggiornilinguistici,https://www.linkedin.com/company/esleducation,,Apify contact scraping,,,,,,,,14,category: Travel agency; Service establishment; Language school | rating: 5 | reviews: 388 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=ESL%20%E2%80%93%20Soggiorni%20linguistici&query_place_id=ChIJZSvBy565hkcRp_PafnV6_h0,Keep,A,Italy language travel agency,Soggiorni linguistici means language stays. Strong outbound language-study agency fit.
Master Studio,https://www.masterstudio.it/,Milan,IT,,+39 02 2953 3748,https://www.instagram.com/masterstudio._,https://www.linkedin.com/company/masterstudio-formazione-linguistica,,Apify contact scraping,,,,,,,,14,category: Travel agency | rating: 4.7 | reviews: 228 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Master%20Studio&query_place_id=ChIJHUPgjejGhkcRUU4r4PCFNjw,Keep,B,Italy outbound study/travel agency,"Travel/study brand likely relevant to Italian student mobility. Needs source confirmation, but fit is plausible."
Language Educational Travels,http://www.letworld.it/,Milan,IT,,+39 02 4507 7964,https://www.instagram.com/letvacanzestudio,,,,,,,,,,,13,category: Corporate office | rating: 4.9 | reviews: 43 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Language%20Educational%20Travels&query_place_id=ChIJAfIuoezGhkcRxfoZZtU31K4,Keep,A,Italy language educational travel provider,Direct language/educational travel fit.
Hemingway institutoa - Spanish school,https://www.institutohemingway.com/,Bilbao,ES,info@institutohemingway.com,+34 944 16 79 01,https://instagram.com/institutohemingway,https://www.linkedin.com/company/instituto-hemingway,,Apify contact scraping,,,,,,,,11,category: Language school; School | rating: 4.9 | reviews: 639 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Hemingway%20institutoa%20-%20Spanish%20school&query_place_id=ChIJk-QdHdJPTg0RE62ciP5Q6dU,Review,C,Unclear education lead,Needs manual source check for UK/China outbound youth-study-tour relevance.
STSicily - Social Tourism in Sicily Soc. Coop,http://stsicily.it/,Balestrate,IT,piero.tuzzo@stsicily.it,+39 347 383 6779,https://www.instagram.com/st_sicily,https://www.linkedin.com/company/stsicily,,Apify contact scraping,,,,,,,,11,category: Education center | rating: 3.9 | reviews: 25 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=STSicily%20-%20Social%20Tourism%20in%20Sicily%20Soc.%20Coop&query_place_id=ChIJB0PQTHaPGRMR1Dtdv7AcFak,Review,C,Unclear education lead,Needs manual source check for UK/China outbound youth-study-tour relevance.
Agenzia Visti per la Cina,http://www.vistopercina.it/,Milan,IT,info@vistopercina.it; booking@chinastartravel.it,+39 392 267 4411,,,,,,,,,,,,10,category: Tourist information center | rating: 4.4 | reviews: 30 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Agenzia%20Visti%20per%20la%20Cina&query_place_id=ChIJZ1GPnTzHhkcRu8OiC8dc2-U,Review,C,Italy China visa service,China visa agency; relevant to China travel logistics but not clearly youth study-tour sales.
AnDa Sports Camps,https://www.andasportscamps.com/,Torrelles de Llobregat,ES,info@andasportscamps.com,+34 609 70 22 99,https://www.instagram.com/pixpa,,,,,,,,,,,10,category: Children's camp; Sport tour agency | rating: 4.9 | reviews: 64 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=AnDa%20Sports%20Camps&query_place_id=ChIJA_QYtN6FpBIRVHpRQaBqFyo,Review,C,Spain sports camp operator,"Children's camp/sport tour agency. Could be youth partnership, but not UK/China outbound study-tour focus."
CHINA LONG VISA SERVICE,https://www.chinalongtravel.com/,Milan,IT,chinalongtravel@hotmail.com,+39 02 4960 1796,,,,,,,,,,,,10,category: Travel agency | rating:  | reviews:  | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=CHINA%20LONG%20VISA%20SERVICE&query_place_id=ChIJOZnMRZHHhkcRBiEq4ja1MBM,Review,C,Italy China visa/travel service,China-related travel/visa lead. Could help China inbound but may not target youth education.
China Long Travel Service Srl,http://www.chinalongtravel.com/,Milan,IT,chinalongtravel@hotmail.com,+39 02 3493 8212,,,,,,,,,,,,10,category: Travel agency; Visa and passport office | rating: 3.5 | reviews: 11 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=China%20Long%20Travel%20Service%20Srl&query_place_id=ChIJidfhmjnBhkcR1T4X3yYH3fU,Review,C,Italy China travel/visa agency,China travel/visa agency. Review for education/youth capability.
EDUITALIA: International Education,http://www.eduitalia.org/,Florence,IT,info@eduitalia.org,+39 335 775 3588,,,,,,,,,,,,10,category: Learning center | rating: 5 | reviews: 1 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=EDUITALIA%3A%20International%20Education&query_place_id=ChIJl92b_wJUKhMRFhBNwaNOkiU,Review,C,Italy international education network,"International education network, but may be Italy-inbound rather than outbound to UK/China."
SAIIE - Spanish American Institute of International Education,http://saiie.com/,Seville,ES,info@saiie.com; director@saiie.com; samanthac@saiie.com; seanrc@saiie.com; administracion@saiie.com; xiaozt@saiie.com,+34 954 22 23 04,https://www.instagram.com/saiiesevilla,,,,,,,,,,,10,category: Education center | rating: 5 | reviews: 1 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=SAIIE%20-%20Spanish%20American%20Institute%20of%20International%20Education&query_place_id=ChIJDfZG5hpsEg0R_vK4VFgYqTA,Review,C,Spain international education provider,"International education, but likely Spain/US inbound-academic rather than outbound youth camps."
Au Pair in Spain. Culture and Friends,https://www.aupairinspain.com/,Madrid,ES,,+34 644 56 85 98,https://www.instagram.com/aupairinspaincf,https://www.linkedin.com/company/18966630,,Apify contact scraping,,,,,,,,9,category: Travel agency; After school program | rating: 4.6 | reviews: 74 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Au%20Pair%20in%20Spain.%20Culture%20and%20Friends&query_place_id=ChIJ06bePBSQQQ0R_dIlbdbIp-w,Review,C,Spain cultural exchange / au pair agency,Cultural exchange/after-school angle. Review for youth/family mobility relevance.
Go Study Australia,https://www.gostudy.it/,Milan,IT,,+39 345 113 6360,https://www.instagram.com/gostudyaustralia_it,https://www.linkedin.com/company/go-study-australia,,Apify contact scraping,,,,,,,,9,category: Educational consultant | rating: 4.9 | reviews: 500 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Go%20Study%20Australia&query_place_id=ChIJK8jRrbzGhkcRaxwYKeuHF7Q,Review,C,Italy outbound study agency,"Outbound study agency but destination is Australia, not UK/China. Could cross-sell if they handle broader destinations."
Learnlife Barcelona - Urban Hub,https://learnlife.com/,Barcelona,ES,,+34 695 11 85 39,https://www.instagram.com/wearelearnlife,https://www.linkedin.com/company/learnlife,,Apify contact scraping,,,,,,,,9,category: International school; Adult education school; Secondary school | rating:  | reviews:  | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Learnlife%20Barcelona%20-%20Urban%20Hub&query_place_id=ChIJ_dLH9oyipBIRwM6vpQnsYcw,Review,C,Spain international school,"International school. Possible partner/referrer, but not a source-market agency."
Youth Education Support,http://youtheducationsupport.org/,Milan,IT,info@youtheducationsupport.org,,,,,,,,,,,,,9,category: Corporate office | rating:  | reviews:  | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Youth%20Education%20Support&query_place_id=ChIJ_3k4I1fBhkcR69s5-i9rn2M,Review,C,Italy youth education organization,"Youth education name, but unclear commercial source-market role."
China Internacional Travel,https://www.chinatravel-cit.es/,Las Palmas de Gran Canaria,ES,,+34 928 27 15 71,,,,,,,,,,,,8,category: Travel agency | rating: 4.6 | reviews: 12 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=China%20Internacional%20Travel&query_place_id=ChIJ87ZZBT6VQAwRDw5GqNMvdrE,Review,C,Spain China travel agency,China-related travel agency. Review for China study-tour/youth education relevance.
三和旅行社 Viajes Sanhe,http://www.sanhe.es/,València,ES,,+34 963 28 25 55,,,,,,,,,,,,8,category: Tour agency; University; Wholesaler; Youth organization | rating: 3.6 | reviews: 9 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%92%8C%E6%97%85%E8%A1%8C%E7%A4%BE%20Viajes%20Sanhe&query_place_id=ChIJg7ZNNkpPYA0RjVfBzM4A9ts,Review,C,Spain Chinese travel/youth org adjacent,"Chinese travel agency with youth organization category. Potential China connection, but unclear education fit."
